"app","component","outcome","ate_sd","lo_sd","hi_sd","ate_natural","excludes_zero","robustness_sd"
"A_cardio","tau_Z1","sbp",-0.08,-0.198,0.048,-1.423,FALSE,0
"A_cardio","tau_Z1","dbp",-0.146,-0.275,-0.022,-1.677,TRUE,0.022
"A_cardio","tau_Z1","hba1c",-0.011,-0.116,0.091,-0.012,FALSE,0
"A_cardio","tau_Z1","tc",-0.454,-0.578,-0.336,-18.934,TRUE,0.336
"A_cardio","tau_Z2","sbp",0.035,-0.011,0.082,0.633,FALSE,0
"A_cardio","tau_Z2","dbp",0.023,-0.031,0.072,0.266,FALSE,0
"A_cardio","tau_Z2","hba1c",-0.007,-0.049,0.034,-0.008,FALSE,0
"A_cardio","tau_Z2","tc",-0.004,-0.049,0.039,-0.17,FALSE,0
"A_cardio","tau_Z1:Z2","sbp",-0.049,-0.177,0.063,-0.871,FALSE,0
"A_cardio","tau_Z1:Z2","dbp",0.056,-0.067,0.183,0.64,FALSE,0
"A_cardio","tau_Z1:Z2","hba1c",-0.016,-0.129,0.092,-0.018,FALSE,0
"A_cardio","tau_Z1:Z2","tc",0.061,-0.069,0.176,2.532,FALSE,0
