"component","outcome","raw_plugin","debiased","se","lo","hi","excludes_zero"
"tau_Z1","sbp",-0.0797,-0.0486,0.055,-0.1564,0.0591,FALSE
"tau_Z1","dbp",-0.1458,-0.1092,0.0619,-0.2306,0.0122,FALSE
"tau_Z1","hba1c",-0.0106,0.0221,0.0406,-0.0574,0.1016,FALSE
"tau_Z1","tc",-0.4538,-0.4394,0.0646,-0.566,-0.3128,TRUE
"tau_Z2","sbp",0.0355,0.0157,0.0264,-0.0361,0.0676,FALSE
"tau_Z2","dbp",0.0231,0.0259,0.0274,-0.0279,0.0797,FALSE
"tau_Z2","hba1c",-0.0071,-0.0035,0.0257,-0.0538,0.0468,FALSE
"tau_Z2","tc",-0.0041,1e-04,0.0281,-0.055,0.0551,FALSE
"tau_Z1:Z2","sbp",-0.0488,-0.0439,0.068,-0.1771,0.0894,FALSE
"tau_Z1:Z2","dbp",0.0556,0.0401,0.0827,-0.1219,0.2022,FALSE
"tau_Z1:Z2","hba1c",-0.0165,-0.0411,0.048,-0.1352,0.053,FALSE
"tau_Z1:Z2","tc",0.0607,0.0812,0.0859,-0.0871,0.2496,FALSE
"joint","sbp",-0.093,-0.0768,0.0426,-0.1603,0.0067,FALSE
"joint","dbp",-0.0671,-0.0432,0.0569,-0.1547,0.0684,FALSE
"joint","hba1c",-0.0341,-0.0225,0.0298,-0.0809,0.0359,FALSE
"joint","tc",-0.3972,-0.3581,0.0594,-0.4746,-0.2416,TRUE
