"component","outcome","raw_plugin","debiased","se","lo","hi","excludes_zero"
"tau_Z1","cerad_imm",-0.0102,-0.0096,0.0723,-0.1514,0.1321,FALSE
"tau_Z1","cerad_del",-0.0219,-0.0575,0.07,-0.1946,0.0796,FALSE
"tau_Z1","animal",-0.086,-0.0449,0.065,-0.1723,0.0825,FALSE
"tau_Z1","dsst",-0.0827,-0.112,0.0523,-0.2146,-0.0095,TRUE
"tau_Z2","cerad_imm",0.0819,0.0594,0.0646,-0.0672,0.1861,FALSE
"tau_Z2","cerad_del",0.0753,0.0353,0.0644,-0.091,0.1616,FALSE
"tau_Z2","animal",0.1892,0.2357,0.0647,0.1088,0.3626,TRUE
"tau_Z2","dsst",0.1167,0.1114,0.0509,0.0117,0.2111,TRUE
"tau_Z1:Z2","cerad_imm",0.0287,0.0284,0.0875,-0.1431,0.1999,FALSE
"tau_Z1:Z2","cerad_del",0.0604,0.1,0.0861,-0.0687,0.2687,FALSE
"tau_Z1:Z2","animal",0.0049,-0.0469,0.0831,-0.2097,0.116,FALSE
"tau_Z1:Z2","dsst",0.0676,0.0896,0.0658,-0.0394,0.2186,FALSE
"joint","cerad_imm",0.1004,0.0782,0.0628,-0.0449,0.2012,FALSE
"joint","cerad_del",0.1138,0.0778,0.0629,-0.0455,0.201,FALSE
"joint","animal",0.1081,0.1439,0.0602,0.0259,0.262,TRUE
"joint","dsst",0.1015,0.0889,0.0489,-0.007,0.1849,FALSE
